video_id	post_date	caption
7593171218287627551	2026-01-09	“Illusion is the first product of the mind when it is divorced from the soul” - Alice Bailey “welcome to the circus” out 1/16 #jagwartwin #welcometothecircus  created by Jagwar Twin with Jagwar Twin’s welcome to the circus
7533308235458153759	2025-07-31	The War begins Which side are you on? White hearts for Team Roy 🤍 Black hearts for Team Sir Lucius 🖤 created by Jagwar Twin with Jagwar Twin’s original sound
7377505101193170222	2024-06-06	How many oompa loompas does it take to screw in a lightbulb?  #jagwartwin #badfeeling #ontour  created by Jagwar Twin with Jagwar Twin’s Bad Feeling (Oompa Loompa)
7655360615199837470	2026-06-25	“Out of the abundance of the heart the mouth speaketh.” - Bible, Matthew 12:34  #jagwartwin #welcometothecircus  created by Jagwar Twin with Jagwar Twin & sir lucius’s welcome to the circus
7655006477731613982	2026-06-24	You are the center of the circus   #jagwartwin #welcometothecircus  #live  created by Jagwar Twin with Jagwar Twin & sir lucius’s welcome to the circus
7654645603024063775	2026-06-23	It’s difficult for god to hear you when you scream.  #jagwartwin #welcometothecircus  created by Jagwar Twin with Jagwar Twin’s original sound
7654284739787967775	2026-06-22	Let’s tear the roof off of my house  #bounce #jagwartwin  created by Jagwar Twin with Jagwar Twin’s original sound
7653174493203991839	2026-06-19	“Be not lukewarm.” - Bible, Revelation 3:16 #jagwartwin #weird  created by Jagwar Twin with Jagwar Twin’s original sound
7652440497159458079	2026-06-17	There is only now. Wya? Watch the full video now on YouTube. Link in bio  #jagwartwin #bounce created by Jagwar Twin with Jagwar Twin’s original sound
7651695049159232798	2026-06-15	This is our world  #jagwartwin #bounce created by Jagwar Twin with Jagwar Twin’s original sound
7650560444607761695	2026-06-12	bounce (live underground) out now #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7650177633149390110	2026-06-11	bounce live underground tomorrow #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7649818206458187039	2026-06-10	Who’s coming to the next one? #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin’s original sound
7647228429519162655	2026-06-03	There is no ceiling except the one that exists in our own mind. Same goes 4 floors. - El Roy #jagwartwin #bounce  created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7646474754097974559	2026-06-01	What you’re afraid to let go of will posses you - El Roy #jagwartwin #bounce created by Jagwar Twin with Jagwar Twin & sir lucius’s bounce
7645043971709750559	2026-05-28	I’ll give you what you’ve been dreaming #jagwartwin #luciuslullaby  created by Jagwar Twin with Jagwar Twin & sir lucius’s lucius lullaby
